rank,region,score,gdp,support,life_expectancy,freedom,generosity,corruption
103,Sub-Saharan Africa,4.811999797821045,0.6729999780654907,0.7990000247955322,0.5080000162124634,0.3720000088214874,0.10499999672174454,0.09300000220537186
104,Sub-Saharan Africa,4.798999786376953,1.0570000410079956,1.1829999685287476,0.5709999799728394,0.29499998688697815,0.0430000014603138,0.054999999701976776
105,Southeastern Asia,4.796000003814697,0.7639999985694885,1.0299999713897705,0.5509999990463257,0.546999990940094,0.26600000262260437,0.164000004529953
106,Sub-Saharan Africa,4.7220001220703125,0.9599999785423279,1.3509999513626099,0.4690000116825104,0.3889999985694885,0.12999999523162842,0.054999999701976776
107,Central and Eastern Europe,4.718999862670898,0.9470000267028809,0.8479999899864197,0.8740000128746033,0.382999986410141,0.17800000309944153,0.027000000700354576
108,Latin America and Caribbean,4.706999778747559,0.9599999785423279,1.4270000457763672,0.8050000071525574,0.15399999916553497,0.06400000303983688,0.04699999839067459
109,Southeastern Asia,4.699999809265137,0.5740000009536743,1.121999979019165,0.6370000243186951,0.609000027179718,0.23199999332427979,0.06199999898672104
110,Middle East and Northern Africa,4.696000099182129,0.6570000052452087,1.246999979019165,0.671999990940094,0.22499999403953552,0.10300000011920929,0.06599999964237213
111,Sub-Saharan Africa,4.681000232696533,0.44999998807907104,1.1339999437332153,0.5709999799728394,0.2919999957084656,0.15299999713897705,0.07199999690055847
114,Sub-Saharan Africa,4.627999782562256,0.1379999965429306,0.7739999890327454,0.3659999966621399,0.3179999887943268,0.18799999356269836,0.10199999809265137
115,Sub-Saharan Africa,4.586999893188477,0.3310000002384186,1.055999994277954,0.3799999952316284,0.2549999952316284,0.1770000010728836,0.11299999803304672
116,Central and Eastern Europe,4.559000015258789,0.8500000238418579,1.0549999475479126,0.8149999976158142,0.28299999237060547,0.0949999988079071,0.06400000303983688
117,Middle East and Northern Africa,4.547999858856201,1.100000023841858,0.8420000076293945,0.7850000262260437,0.3050000071525574,0.27000001072883606,0.125
118,Sub-Saharan Africa,4.533999919891357,0.3799999952316284,0.8289999961853027,0.375,0.3319999873638153,0.2070000022649765,0.0860000029206276
119,Central and Eastern Europe,4.519000053405762,0.8859999775886536,0.6660000085830688,0.7519999742507935,0.34599998593330383,0.0430000014603138,0.164000004529953
121,Sub-Saharan Africa,4.508999824523926,0.5120000243186951,0.9829999804496765,0.5809999704360962,0.4309999942779541,0.3720000088214874,0.05299999937415123
122,Sub-Saharan Africa,4.489999771118164,0.5699999928474426,1.1670000553131104,0.48899999260902405,0.06599999964237213,0.10599999874830246,0.08799999952316284
123,Sub-Saharan Africa,4.466000080108643,0.20399999618530273,0.9860000014305115,0.38999998569488525,0.49399998784065247,0.19699999690055847,0.1379999965429306
